CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,Año,ALC_FEN,ALC_TOT,CO3,HCO3,OH,CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_SUP_30_UT,TOX_FIS_SUP_5_UT,TOX_FIS_FON_15_UT,TOX_FIS_FON_30_UT,TOX_FIS_FON_5_UT,TOX_V_15_UT,TOX_V_30_UT,AOXF,AOXP,AOXT,P_TOT,PO4_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,CONDUC_CAMPO,CONDUC_CAMPO_SUP,CONDUC_CAMPO_MED,CONDUC_CAMPO_FON,pH_CAMPO,pH_CAMPO_SUP,pH_CAMPO_MED,pH_CAMPO_FON,SALINIDAD_SUP,SALINIDAD_MED,SALINIDAD_FON,OD_%,OD_mg/L,OD_%_SUP,OD_mg/L_SUP,OD_%_MED,OD_mg/L_MED,OD_%_FON,OD_mg/L_FON,"1,1,1,2_TTCETA","1,1,2,2_TETRACLETAN","1,1,2_TCETA","1,1_DICLETILEN","1,2,4_TRICLBENCEN","1,2_DIBR_3_CLPROPAN","1,2_DICLETAN","1,2_DICLPROPAN",2_CEVE,ACRILONITRILO,ACROLEINA,AL_TOT,BA_TOT,BENCENO,BR_CLMET,BROMOMETANO,"CIS_1,2_DICLETEN",CL_BENC,CL_METILENO,CL_RES,CLOROMETANO,CLORURO_DE_VINILO,CLORUROS_TOT,ENTEROC_FEC,ESTIRENO,ETILBENCENO,FE_TOT,FLUORUROS_TOT,GRAS_ACEI,H_HELMINTOS,K_TOT,MAT_FLOTANTE,METILTERBUTILETER_MTBE_,MN_TOT,NA_TOT,SAAM,SE_TOT,SIO2,SO4_TOT,SOLID_SED,SST,SULFUROS_TOT,TALIO,TETRACL_CARB,TETRACLOROETILENO_,TOLUENO,"TRANS_1,2_DICLOROETILENO",TRICLOROETILENO,TRICLOROFLUOROMETANO,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,CN_TOT,CU_TOT,ZN_TOT,POT_REDOX_CAMPO,POT_REDOX_CAMPO_FON,POT_REDOX_CAMPO_MED,POT_REDOX_CAMPO_SUP,"1,2_DICLBENC","1,3_DICLBEN","1,4_DICLBEN",DICLOROBENCENOS,BR_DICLMET,BROMOF,CLOROFORMO,DIBR_CLMET,THMs,"M,P_XILENO",O_XILENO,XILEN_ISOMEROS,CA_TOT,MG_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,TEMP_AGUA_SUP,TEMP_AGUA_MED,TEMP_AGUA_FON,TEMP_AGUA_0.5,TEMP_AGUA_1,TEMP_AGUA_2,TEMP_AGUA_3,TEMP_AGUA_4,TEMP_AGUA_5,TEMP_AGUA_6,TEMP_AGUA_7,TEMP_AGUA_8,TEMP_AGUA_9,TEMP_AGUA_10,TEMP_AGUA_11,TEMP_AGUA_12,TEMP_AGUA_13,TEMP_AGUA_14,TEMP_AGUA_15,TEMP_AGUA_16,TEMP_AGUA_17,TEMP_AGUA_18,TEMP_AGUA_19,TEMP_AGUA_20,TEMP_AGUA_21,TEMP_AGUA_22,TEMP_AGUA_23,TEMP_AGUA_24,TEMP_AGUA_25,TEMP_AGUA_26,TEMP_AGUA_27,TEMP_AGUA_28,TEMP_AGUA_29,TEMP_AGUA_30,PROFUNDIDAD,CAUDAL,CLORUROS_SOL,FLUORUROS_SOL,SO4_SOL,AS_SOL,CD_SOL,CR_SOL,FE_SOL,MN_SOL,HG_SOL,PB_SOL,ZN_SOL,AL_SOL,CU_SOL,TALIO_SOL,NI_SOL,CA_SOL,MG_SOL,K_SOL,NA_SOL,SULFUROS_SOL,ST,DIBROMOETILENO,BROMATOS,CLORITOS,COMP_ORG_NO_HALOG_FID_CONH,N_NO3-N_NO2,FORMALDEHIDO,CLORATOS,ACID_CLOROACE,ACID_DICLOROACE,ACID_TRICLOROACE
OCPYU4890,OCPYU4890-021212,POZO 4 DE LA PLANTA MERIDA IV,SUBTERRÁNEO,20/12/2012,2012,<25,369.38,0,369.38,0,,<3,,,,,,,,,0.0854,<0.005,4.17,0,4.2554,0.0854,,,,,,,,,,,,,,,0.0608,0.186048,,,,,879.36,1374,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.712,,,,0.1008,,,,10.46,,,<0.00021,200,,,13.92,41.9053,,,,,,,,,,,,<0.0015,,,,,,,,,,,,,,,,,,,,,,,,,183.6,68.55,465.4196,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCPYU4890,OCPYU4890-280413,POZO 4 DE LA PLANTA MERIDA IV,SUBTERRÁNEO,03/05/2013,2013,<25,347.475,0,347.475,0,,<1,,,0.4828,,,,,,<0.0035,<0.005,4.1347,0,4.1347,<0.0035,,,,,,,,,,,,,,,0.0084,0.025704,,,,<0.009,963.84,1506,,,,6.67,,,,,,,,,,,,,,,,,,,,,<0.00017,,,,,,,<0.00014,,,,,<0.0002,,,<0.00015,217.1242,,,<0.00014,0.1608,0.2686,,,6.351,,<0.0002,<0.00021,152.9,0.3579,,54.07,33.2827,,,,,<0.000031,<0.0002,<0.00016,,,<0.0002,,<0.0015,<0.001301,<0.0012,0.0001,,<0.00154,,,0.0144,185,,,,,,<0.0002,,,<0.0002,,,,<0.00019,<0.0002,<0.0002,113.1,40.7,526.1296,30.8,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCPYU4890,OCPYU4890-081017,POZO 4 DE LA PLANTA MERIDA IV,SUBTERRÁNEO,25/10/2017,2017,<25,355.68,0,355.68,0,,<10,,,<0.103,,,,,,0.06093,0.00522,3.9053,0,3.97145,0.06093,,,,,,,,,,,,,,,0.0178,0.054468,,,,0.2512,932,1537,,,,7,,,,,,,,,,,,,,,<0.00014,<0.0002,<0.0001,<0.00007,<0.00019,<0.000055,<0.00017,<0.0002,<0.000162,<0.0000689,<0.000034,,,<0.00014,<0.0002,<0.0002,<0.00015,<0.00004,<0.0002,,<0.0002,<0.00015,250.8158,,<0.0002,<0.00014,0.0057,0.1457,,,7.098,,<0.0002,<0.00021,206.6,<0.01,,11.25,67.0386,,,,,<0.000031,<0.0002,<0.00016,<0.0001,<0.0002,<0.0002,,<0.0015,<0.001301,<0.0012,<0.0002013,,<0.00154,,,0.0186,181.8,,,,<0.00018,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.00019,<0.0002,<0.0002,161.3,36.77,475.368,28,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCPYU4890,OCPYU4890-060518,POZO 4 DE LA PLANTA MERIDA IV,SUBTERRÁNEO,02/05/2018,2018,<25,372.75,0,372.75,0,,<10,,,0.1347,,,,,,0.0224,<0.005,2.145212,0.18087,2.348482,0.20327,,,,,,,,,,,,,,,0.0342,0.104652,,,,0.0313,858,1535,,,,7.03,,,,,,,,,,,,,,,<0.00014,<0.0002,<0.0001,<0.00007,<0.00019,<0.000055,<0.00017,<0.0002,<0.000162,<0.0000689,<0.000034,,,<0.00014,<0.0002,<0.0002,<0.00015,<0.00004,<0.0002,,<0.0002,<0.00015,250.4755,,<0.0002,<0.00014,0.01535,0.1913,,,6.2841,,<0.0002,<0.00021,173.8,0.029,,10.475,54.9125,,,,,<0.000031,<0.0002,<0.00016,<0.0001,<0.0002,<0.0002,,<0.0015,<0.001301,<0.0012,<0.0002013,,<0.00154,,,<0.00284,182.3,,,,<0.00018,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.00019,<0.0002,<0.0002,155.9,38.96,432.564,32,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCPYU4890,OCPYU4890-161218,POZO 4 DE LA PLANTA MERIDA IV,SUBTERRÁNEO,20/12/2018,2018,<25,378.23,0,378.23,0,,<10,,,0.1381,,,,,,0.028318,0.007668,3.476133,0.21918,3.731299,0.247498,,,,,,,,,,,,,,,0.0249,0.076194,,,,0.0176,812,1624,,,,7.4,,,,,,,,,,,,,,,<0.00014,<0.0002,<0.0001,<0.00007,<0.00019,<0.000055,<0.00017,<0.0002,<0.000162,<0.0000689,<0.000034,,,<0.00014,<0.0002,<0.0002,<0.00015,<0.00004,<0.0002,,<0.0002,<0.00015,222.7394,,<0.0002,<0.00014,0.0426,0.2277,,,7.154,,<0.0002,0.0024,179.7,0.173,,10.83,55.6108,,,,,<0.000031,<0.0002,<0.00016,<0.0001,<0.0002,<0.0002,,<0.0015,<0.001301,<0.0012,<0.0002013,,<0.00154,,,<0.00284,-231.2,,,,<0.00018,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.00019,<0.0002,<0.0002,158.1,39.92,453.8289,29,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCPYU4890,OCPYU4890-260921,POZO 4 DE LA PLANTA MERIDA IV,SUBTERRÁNEO,23/09/2021,2021,,153.76,0,153.76,0,,<3,,,<0.103,,,,,,<0.0035,<0.005,6.8132,0.4403,7.2535,0.4403,,,,,,,,,,,,,,,5.9615,18.24219,,,,,1650,2514,,,,6.9,,,,,,,82.1,4.09,,,,,,,<0.00014,<0.0002,<0.0001,<0.00007,<0.00019,<0.000055,<0.00017,<0.0002,<0.000162,<0.0000689,<0.000034,<0.0018,,<0.00014,<0.0002,<0.0002,<0.00015,<0.00004,<0.0002,,<0.0002,<0.00015,132.51,,<0.0002,<0.00014,0.13919,1.7573,,,5.83207,,<0.0002,0.00082,102.72073,<0.01,,,19.3101,,<10,<0.019,,<0.000031,<0.0002,<0.00016,<0.0001,<0.0002,<0.0002,,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,<0.001,0.0057,0.16264,85,,,,<0.00018,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.00019,<0.0002,<0.0002,50.725,19.59416,211.77,35,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.02,0.8141,16.8209,<0.0015,<0.00031,<0.00088,0.10256,0.00726,<0.0001,<0.0008,0.13254,,,,<0.00042,42.85632,14.98563,5.12469,90.05862,<0.0056,,,,,,,,,,,
OCPYU4890,OCPYU4890-280822,POZO 4 DE LA PLANTA MERIDA IV,SUBTERRÁNEO,31/10/2022,2022,,353.6,,,,,<10,,,,,,,,,,,4.208,,,,,,,,,,,,,,,,,,,,,,,,922.7,1693,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.0041,0.22,,,,,,<0.00021,,,,,,,,,,,,,,,,,<0.0015,<0.00130148,<0.0012,<0.000201289,,<0.00154,,,,167.8,,,,,,,,,,,,,,,,,,475.3,32,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCPYU4908,OCPYU4908-161212,EL CUYO,COSTERO,16/12/2012,2012,,,,,,,<3,,,<0.103,<0.103,,,,,0.9794,<0.005,<0.031,0,0.9794,0.9794,,,,<1,<1,,<1,<1,,,,,,,0.0454,,0.0274,20,,<0.009,41866.4,,52333,,,,8.08,,,34.3,,,,,99.9,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,,,,,,,,,,,,,,,55.25,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,,,,25.1,25.2,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCPYU4908,OCPYU4908-280413,EL CUYO,COSTERO,25/04/2013,2013,,,,,,,10,,,<0.103,<0.103,,,,,0.0246,<0.005,0.0602,0.0641,0.1489,0.0887,,,,<1,<1,,<1,<1,,,,,,,0.0875,,0.0158,5,,<0.009,52240,,65300,,,,7.98,,,41.3,,,,,99,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,,,18.75,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,29,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCPYU4908,OCPYU4908-160613,EL CUYO,COSTERO,16/06/2013,2013,,,,,,,370,,,<0.103,<0.103,,,,,<0.0035,<0.005,<0.031,0.0109,0.0109,0.0109,,,,<1,<1,,<1,<1,,,,,,,0.0398,,0.064,5,,<0.009,51040,,63800,,,,8.17,,,37.5,,,,,104.73,7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,<10,,,,,,,,,<2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,31.4,,,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
