CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
OCPYU4929,COSGAYA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MÉRIDA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.09699,-89.7046
OCPYU4946,POZO 1 DEL SISTEMA DE AGUA POTABLE DE SOTUTA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,SOTUTA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.59704,-89.00757
OCPYU4953W1,ANILLO DE CENOTES DE YUCATAN 5,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,KOPOMÁ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),CENOTE,20.68943,-89.87605
OCPYU6396,CACALCHEN,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,CACALCHEN,ACUÍFERO PENINSULA DE YUCATAN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.98222222,-89.22777778
OCPYU6397,CANSAHCAB,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,CANSAHCAB,ACUÍFERO PENINSULA DE YUCATAN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.15685,-89.08996
OCPYU6402,CHOLUL,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MERIDA,ACUÍFERO PENINSULA DE YUCATAN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.04305556,-89.55638889
OCPYU6418,TECOH,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,TECOH,ACUÍFERO PENINSULA DE YUCATAN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.74194444,-89.47444444
OCPYU6437,SAP XCUYUM,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,CONKAL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.04972222,-89.495
OCPYU6438,SAP CHCOHO,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,TIXPEHUAL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.99333333,-89.46694444
OCPYU6439,SAP PARAISO,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MAXCANU ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.67555556,-90.11722222
OCPYU6440,SAP SANTA ROSA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MAXCANU ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.60611111,-90.08861111
OCPYU6441,SAP SUMA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,SUMA ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.08611111,-89.14861111
OCPYU6442,SAP NOCHACAN,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,CUZAMA ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.74583333,-89.33611111
OCPYU6444,SAP KANACHEN,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,KOPOMÁ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.605,-89.88666667
OCPYU6445,SAP KIKTEIL,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MERIDA ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.12916667,-89.69222222
OCPYU6446,SAP OXTAPACAB,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,TIMUCUY ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.77111111,-89.50416667
OCPYU6448,SAP ABALA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,ABALA ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.64666667,-89.67972222
OCPYU6449,SAP SAN NICOLAS,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,SUMA ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.10611111,-89.16
OCPYU6451,SAP TOHOPKU,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,TEKAL DE VENEGAS ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.0461,-88.93198
OCPYU6452,SAP CHENCHE DE LAS TORRES,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,TEMAX ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.12972222,-88.98138889
OCPYU6453,SAP SACOLA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MUXUPIP ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.10138889,-89.32583333
OCPYU6455,SAP MUXUPIP,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MUXUPIP ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.04194444,-89.32972222
OCPYU6460,SAP PARAISO,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,PROGRESO,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.19305556,-89.65055556
OCPYU6465,SAP SAN IGNACIO,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,PROGRESO,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.15972222,-89.66
OCPYU6469,SAP TAMANCHE,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MERIDA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.13916667,-89.64166667
OCPYU6471,SAP KANTOYNA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,CONKAL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.11027778,-89.525
OCPYU6472,SAP SAN ANTONIO MILLET,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,TIXKOKOB,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.97277778,-89.39611111
OCPYU6473,SAP TIKOPO,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,ACANCEH,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.8891666,-89.43944444
OCPYU6476,SAP TEPAKAN,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,TEPAKAN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.04861111,-89.03888889
OCPYU6477,SAP DZIUCHE,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,HOCTUN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.911514,-89.1965
OCPYU6478,AGUAS ARRIBA DE GP-088,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,KINCHIL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.9023,-89.9984
OCPYU6479,SAP SAN ANTONIO TEDZIDZ,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,SAMAHIL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.83694444,-89.97444444
OCPYU6498,AGUAS ARRIBA DE GP-104,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,HUNUCMA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,21.0344,-89.8333
OCPYU6499,SAP SAN ANTONIO CHEL,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,HUNUCMA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.99611111,-89.81416667
OCPYU6500,SAP SAN ANTONIO TZACALA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,MERIDA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.75,-89.65388889
OCPYU6501,SAP UAYALCEH,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,ABALA ,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.69444444,-89.59388889
OCPYU6512,SAP HOLACTUN,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,TAHMEK,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.8764,-89.3283
OCPYU6513,SAP PEBA,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,ABALA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.7188,-89.6859
OCPYU6514,SAP TIXACACLPUYUL,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,YAXCABA,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.501411,-88.91846
OCPYU6515,HACIENDA KANAN,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,IZAMAL,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO (ESTUDIO ESPECIAL),POZO,20.9829,-88.9706
OCPYU4890,POZO 4 DE LA PLANTA MERIDA IV,,3105,PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,YUCATÁN,UMÁN,ACUÍFERO PENÍNSULA DE YUCATÁN,SUBTERRÁNEO,POZO,20.971536,-89.784621
OCPYU4908,EL CUYO,YUCATÁN (RESTO DE RH 32),,,PENÍNSULA DE YUCATÁN,YUCATÁN,TIZIMÍN,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,21.52011,-87.6774
