FID,the_geom,DELEGACION,MUNICIPIO,LOCALIDAD,DOM_UPP,NOM_UPP,SIST_TEC,SIST_SEMI,POLLO_ENG,HUEVO_PLA,CAP_INST,CAP_UTIL,NUM_NAVES,SUP_MT,VALIDADO,ESTATUS,PROD_LECH,ENGORDA,CICLO_COM,CAB_VIENT,CAB_LECH,CAB_CREC,CAB_FIN,CAB_SEM,TOTAL_ANIM,RAZA_PRINC,TIPO,FECHA,class
granjas_peninsula.1,POINT (-90.47348899976615 19.6302529998219),Campeche,Campeche,Uayamón,Km. 24 + 500 carretera Seybaplaya - Uayamón.,"Buenaventura Grupo Pecuario, S.A. de C.V. Productora (San Fernando Uayamón)",X,,,X,140000,25,4,100000,Si,Activo,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.2,POINT (-90.41630500046523 19.698166000098936),Campeche,Campeche,Uayamón,Km. 2 + 400 carretera Seybaplaya - Uayamón.,"Buenaventura Grupo Pecuario, S.A. de C.V. Productora (Monasterio)",X,,,X,140000,25,4,70800,Si,Activo,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.3,POINT (-90.47033299992164 19.611750000169447),Campeche,Campeche,Hobomó,Km. 25 + 000 carretera Seybaplaya - Uayamón.,"Buenaventura Grupo Pecuario, S.A. de C.V. Productora (Hobomó)",X,,,X,140000,30,4,120000,Si,Activo,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.4,POINT (-90.10729599991598 19.730616000309098),Campeche,Campeche,Pueblo Nuevo,Km. 55 + 000 carretera Campeche - Hopelchén.,"Buenaventura Grupo Pecuario, S.A. de C.V. Productora Pueblo Nuevo (Tres Américas)",X,,,X,735000,24,21,50000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.5,POINT (-90.13513799995462 19.421360999747655),Campeche,Campeche,Quezal Edzná,"Prolongación de Avenida Central de la localidad, después de las áreas agrícolas.","Productos Agropecuarios de Tehuacán, S.A. de C.V. (Ropesa)",X,,,X,1536000,11,32,530000,Si,Activo,,,,,,,,,,,Granjas avicolas,2015,2
granjas_peninsula.6,POINT (-90.41177099964418 19.778907999526783),Campeche,Campeche,X-Campéu Exhacienda,"Km. 18 + 000 carretera Campeche - Hopelchen, terracería a la derecha km. 6 + 500.","Buenaventura Grupo Pecuario, S.A. de C.V. Productora (La Providencia)",X,,,X,140000,31,5,40000,Si,Activo,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.7,POINT (-90.14317600034066 19.75978999974164),Campeche,Campeche,San Antonio Cayal,Km. 51 + 500 carretera Campeche - Hopelchén.,"Buenaventura Grupo Pecuario, S.A. de C.V. Productora (Cayal)",X,,,X,1400000,45,40,150000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,1
granjas_peninsula.8,POINT (-89.80014500001282 19.883999000441964),Campeche,Hopelchén,Katab,"Km. 103 + 00 carretera Umán - Hopelchen, a 650 m. después del entronque a la localidad de Katab.","Buenaventura Grupo Pecuario, S.A. de C.V. Productora (San Luis Yaa Lak)",X,,,X,490000,11,14,700000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.9,POINT (-89.64613200040606 19.37104599979098),Campeche,Hopelchén,Dzibalchén,Km. 7 + 000 carretera Dzibalchén - Xpujil.,"Buenaventura Grupo Pecuario, S.A. de C.V.",X,,,X,595000,11,17,80000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.10,POINT (-90.17275500002276 19.67761599977044),Campeche,Campeche,San Antonio Cayal,Km. 8 + 000 Carretera San Antonio Cayal - Haltunchén,"Buenaventura Grupo Pecuario, S.A. de C.V. Productora (Carolina)",X,,,X,560000,25,16,850000,Si,Activo,,,,,,,,,,,Granjas avicolas,2015,2
granjas_peninsula.11,POINT (-90.07080555536861 20.284777777378956),Campeche,Calkiní,Bacabchén,Bacabchén km. 90.,San Diego Xmac,X,,X,,25000,18,5,5250,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.12,POINT (-90.15784900033518 20.15889899984651),Campeche,Hecelchakán,Pomuch,Km. 3 libramiento Hecelchakán - Pomuch.,Granja Hecelchakán 01,X,,X,,280000,100,8,16632,Si,Activo,,,,,,,,,,,Granjas avicolas,2010,3
granjas_peninsula.13,POINT (-90.16306999982066 20.15379799974371),Campeche,Hecelchakán,Pomuch,Km. 3 libramiento Hecelchakán - Pomuch.,Granja Hecelchakán 02,X,,X,,280000,100,8,16632,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.14,POINT (-90.16747899990108 20.15037000007274),Campeche,Hecelchakán,Pomuch,Km. 3 libramiento Hecelchakán - Pomuch.,Granja Hecelchakán 03,X,,X,,280000,100,8,16632,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.15,POINT (-90.4636939999883 19.873479999639382),Campeche,Campeche,Imí,Calle 19 entre 10 y 12 s/n.,"Bachoco, S.A. de C.V. Crianza San José",X,,X,,140000,76,4,30000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.16,POINT (-90.3020779996915 19.81557500010932),Campeche,Campeche,Nilchí,Km. 28 + 000 carretera Campeche - Hopelchén.,"Bachoco, S.A. de C.V. Crianza Xtun",,X,X,,350000,71,10,40000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.17,POINT (-90.28635199989304 19.802964999660922),Campeche,Campeche,Nilchi,Km. 30 + 000 carretera Campeche - Hopelchén.,"Bachoco, S.A. de C.V. Crianza Ivette",X,,X,,140000,65,4,200000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.18,POINT (-90.28044200040075 19.802166000246853),Campeche,Campeche,Nilchi,Km. 30 + 700 carretera Campeche - Hopelchén.,"Bachoco, S.A. de C.V. Crianza Crucero",,X,X,,210000,73,6,200000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.19,POINT (-90.07801944015911 19.702241669847503),Campeche,Campeche,Crucero Oxá,Conocido.,"Buenaventura Grupo Pecuario, S.A. de C.V. Crianza Crucero de Oxa",X,,X,,980000,87,28,100000,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.20,POINT (-90.2590290000912 20.01736100034397),Campeche,Tenabo,Tenabo,Km. 35 + 000 carretera Campeche-Hopelchén,"Buenaventura Grupo Pecuario, S.A. de C.V. Crianza San Antonio",X,,X,,40000,100,4,10000,Si,Activo,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.21,POINT (-90.39356599982528 19.497593999933155),Campeche,Champotón,Hool,Km. 5 + 500  camino Hool-Adolfo Ruíz Cortinez,"Buenaventura Grupo Pecuario, S.A. de C.V. Crianza Montana",X,,X,,175000,68,5,2100000,Si,Activo,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.22,POINT (-88.12700000016923 19.610473999744848),Quintana Roo,Felipe Carrillo Puerto,Felipe Carrillo Puerto,Carretera Federal 184 Felipe Carrillo Puerto-Oxkutzcab km. 6.,Socorro,X,,X,,430950,36,9,13050,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.23,POINT (-88.14699999994517 19.133033999654813),Quintana Roo,Bacalar,Noh Bec,"Carretera Federal 307 Chetumal-Cancún, tramo Limones-Andrés Quintana Roo km. 10.8 desviación a Noh-Bec.",Noh - Bec,X,,X,,1084800,23,17,24650,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.24,POINT (-89.46656700025889 20.76668299978822),Yucatán,Tecoh,Tecoh,km. 2.5 carretera Acanceh - Tecoh.,Santa Rita,X,,X,,100,209364,4,34797.546634,Si,Activo,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.25,POINT (-89.49137000011233 20.70913599969878),Yucatán,Tecoh,Tecoh,Km. 1 carretera Lepan t 1539.,San Francisco Lepan 1,X,,X,,100,135878,5,37742.010969,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.26,POINT (-89.491633000054 20.714166999604426),Yucatán,Tecoh,Tecoh,Km. 1 carretera Lepan t 1539.,San Francisco Lepan 2,X,,X,,100,62000,1,33467.808872,Si,Activo,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.27,POINT (-89.47100799955014 20.757633999768647),Yucatán,Tecoh,Tecoh,Tablaje catastral No. 519 entrada a Tecoh.,Tecoh,X,,X,,100,236000,15,683213.592013,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.28,POINT (-89.46070699964513 20.82877900014387),Yucatán,Acanceh,Acanceh,Carretera Petectunich - Acanceh.,Petectunich,X,,X,,100,266635,30,604249.255368,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.29,POINT (-89.41874599983822 20.765967000249024),Yucatán,Acanceh,Acanceh,"No. catastral 407, hacienda Sac - chich.",San Antonio,X,,X,,100,87857,10,81530.180982,Si,Activo,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.30,POINT (-89.46493999955199 20.834057999931026),Yucatán,Acanceh,Acanceh,Carretera Petectunich - Acanceh.,San Gregorio,X,,X,,100,227937,27,236982.047036,Si,Activo,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.31,POINT (-89.41618100036813 20.764906000049837),Yucatán,Acanceh,Acanceh,"No. catastral 407, hacienda Sac - chich.",Santa Cruz 1,X,,X,,100,41957,5,21595.025269,Si,Activo,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.32,POINT (-89.40838799988008 20.76491199988329),Yucatán,Acanceh,Acanceh,"No. catastral 407, hacienda Sac - chich.",Santa Cruz 2,X,,X,,100,66000,1,20134.448871,Si,Activo,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.33,POINT (-89.4312079999122 20.802635000445687),Yucatán,Acanceh,Acanceh,Km. 4 Acanceh - Cuzamá.,Acanceh,X,,X,,100,1235227,54,1522754.50161,Si,Activo,,,,,,,,,,,Granjas avicolas,2005,1
granjas_peninsula.34,POINT (-89.29415000036462 20.90753300008342),Yucatán,Tahmek,Tahmek,Tablaje catastral No. 467.,Panabá 1,X,,X,,100,99000,10,84740.592868,Si,Activo,,,,,,,,,,,Granjas avicolas,2010,3
granjas_peninsula.35,POINT (-89.30066700048563 20.904966999900367),Yucatán,Tahmek,Tahmek,Tablaje catastral No. 467.,Panabá 2,X,,X,,100,99000,10,89497.40682,Si,Activo,,,,,,,,,,,Granjas avicolas,2010,3
granjas_peninsula.36,POINT (-89.3030670001343 20.91208300045915),Yucatán,Tahmek,Tahmek,Tablaje catastral No. 467.,Panabá 3,X,,X,,100,99000,10,74565.421309,Si,Activo,,,,,,,,,,,Granjas avicolas,2010,3
granjas_peninsula.37,POINT (-89.29941700019738 20.911016999776646),Yucatán,Tahmek,Tahmek,Tablaje catastral No. 467.,Panabá 4,X,,X,,100,85000,8,58492.360488,Si,Activo,,,,,,,,,,,Granjas avicolas,2010,3
granjas_peninsula.38,POINT (-89.30438299992115 20.90538300043343),Yucatán,Tahmek,Tahmek,Tablaje catastral No. 467.,Panabá 5,X,,X,,100,85000,8,64754.273778,Si,Activo,,,,,,,,,,,Granjas avicolas,2010,3
